City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Makakilo City,US,21.3469,-158.0858,80.92,61,0,11.5,clear sky
245,Port Elizabeth,ZA,-33.918,25.5701,65.1,77,0,2.3,clear sky
246,Chapais,CA,49.7834,-74.8492,-9.62,88,94,2.71,overcast clouds
247,Egvekinot,RU,66.3167,-179.1667,-6.03,92,100,12.21,overcast clouds
248,Severo-Kurilsk,RU,50.6789,156.125,31.64,80,100,25.59,overcast clouds
249,Mar Del Plata,AR,-38.0023,-57.5575,69.82,90,75,13.0,light rain
250,Jacareacanga,BR,-6.2222,-57.7528,78.31,90,96,1.52,overcast clouds
251,Mount Gambier,AU,-37.8333,140.7667,55.31,76,100,5.75,overcast clouds
252,Belaya Gora,RU,68.5333,146.4167,-48.35,100,59,4.23,broken clouds
253,Dhenkanal,IN,20.6667,85.6,69.58,92,86,1.05,overcast clouds
254,Marsabit,KE,2.3284,37.9899,73.0,43,66,2.48,broken clouds
255,Lasa,IT,46.6166,10.7002,35.51,93,75,9.4,light snow
256,Cuamba,MZ,-14.8031,36.5372,70.16,99,100,1.97,moderate rain
257,Cururupu,BR,-1.8283,-44.8683,76.06,94,100,4.38,overcast clouds
258,Vardo,NO,70.3705,31.1107,28.38,80,75,13.8,broken clouds
259,Manjacaze,MZ,-24.7117,33.8828,70.68,89,49,4.68,scattered clouds
260,Porto Novo,BJ,6.4965,2.6036,80.42,81,51,6.51,broken clouds
261,Port Hedland,AU,-20.3167,118.5667,80.65,100,48,6.91,scattered clouds
262,Pavilosta,LV,56.8879,21.1859,33.75,97,100,24.14,snow
263,Mikuni,JP,36.2171,136.1519,31.91,85,99,4.03,snow
264,Turukhansk,RU,65.8167,87.9833,16.66,87,100,17.09,overcast clouds
265,Pokosnoye,RU,55.5258,101.0536,-1.61,100,75,2.84,broken clouds
266,Kuching,MY,1.55,110.3333,75.42,94,20,1.14,few clouds
267,Fortuna,US,40.5982,-124.1573,48.92,85,100,13.8,overcast clouds
268,Katangli,RU,51.7102,143.2326,1.67,72,100,23.69,overcast clouds
269,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.35,54,75,14.97,broken clouds
270,Kirkland Lake,CA,48.1446,-80.0377,0.43,60,100,7.23,overcast clouds
271,Duluth,US,46.7833,-92.1066,15.06,82,100,34.52,heavy snow
272,Chumikan,RU,54.7183,135.315,-9.04,85,54,18.81,broken clouds
273,Tarko-Sale,RU,64.9225,77.785,18.37,94,100,15.3,light snow
274,Dongying,CN,37.4564,118.4856,26.24,38,0,10.58,clear sky
275,Uaua,BR,-9.8414,-39.4817,83.37,48,99,12.55,overcast clouds
276,Kodiak,US,57.79,-152.4072,44.11,76,40,14.97,scattered clouds
277,Anadyr,RU,64.75,177.4833,-7.01,76,75,11.18,light shower snow
278,Ambulu,ID,-8.345,113.6058,76.51,89,100,2.73,overcast clouds
279,Burnie,AU,-41.0667,145.9167,56.95,59,57,14.23,broken clouds
280,Labuhan,ID,-6.8844,112.2051,77.47,86,100,7.29,overcast clouds
281,Daura,NG,11.5538,11.4085,69.85,17,29,12.48,scattered clouds
282,Khani,GE,41.9563,42.9566,35.17,89,99,4.5,overcast clouds
283,Vercelli,IT,45.3231,8.4153,50.99,57,6,5.44,clear sky
284,Luanda,AO,-8.8368,13.2343,78.58,88,94,5.91,overcast clouds
285,Nadym,RU,65.5333,72.5167,18.0,96,100,10.16,overcast clouds
286,Banjar,ID,-8.19,114.9675,78.66,88,100,4.54,heavy intensity rain
287,Zemio,CF,5.0314,25.1361,71.15,23,98,1.59,overcast clouds
288,Krasnoye,UA,49.9145,24.6134,36.75,77,100,8.16,overcast clouds
289,Dawlatabad,AF,36.4141,64.9053,48.69,87,100,3.91,overcast clouds
290,Nizhnevartovsk,RU,60.9344,76.5531,23.02,86,100,11.18,overcast clouds
291,Morant Bay,JM,17.8815,-76.4093,80.22,73,19,11.95,few clouds
292,Ostrovnoy,RU,68.0531,39.5131,19.38,85,100,6.11,overcast clouds
293,Dargaville,NZ,-35.9333,173.8833,73.33,65,34,6.11,scattered clouds
294,Shima,CN,24.4478,117.8111,50.22,88,99,3.42,overcast clouds
295,Mao,ES,39.8885,4.2658,48.76,81,0,8.05,clear sky
296,Gat,IL,31.61,34.7642,57.4,100,96,3.98,overcast clouds
297,Chegdomyn,RU,51.1167,133.0167,-21.21,100,98,2.42,overcast clouds
298,Winfield,US,37.2398,-96.9956,72.46,40,100,20.07,overcast clouds
299,El Dorado,US,38.7666,-120.5177,48.96,61,39,1.01,scattered clouds
300,Kaitangata,NZ,-46.2817,169.8464,63.93,77,100,5.75,heavy intensity rain
301,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,86,41,13.04,scattered clouds
302,La Paz,BO,-16.5,-68.15,55.38,71,75,11.5,broken clouds
303,Matara,LK,5.9485,80.5353,76.89,88,84,0.96,broken clouds
304,Mabaruma,GY,8.2,-59.7833,73.27,97,36,5.08,scattered clouds
305,Fort Morgan,US,40.2503,-103.8,20.05,58,40,20.71,scattered clouds
306,Cabo San Lucas,MX,22.8909,-109.9124,84.61,71,0,4.0,clear sky
307,Bengkulu,ID,-3.8004,102.2655,75.33,89,93,4.03,overcast clouds
308,Sabya,SA,17.1495,42.6254,78.42,68,61,4.92,broken clouds
309,Edd,ER,13.9297,41.6925,75.58,76,96,7.2,overcast clouds
310,Kamina,CD,-8.7386,24.9906,63.32,97,94,3.44,overcast clouds
311,Praia,CV,14.9215,-23.5087,70.34,78,75,20.71,broken clouds
312,Ilebo,CD,-4.3167,20.5833,71.78,78,100,0.96,overcast clouds
313,Tokat,TR,40.4167,36.5833,26.53,87,45,5.64,scattered clouds
314,Umm Kaddadah,SD,13.6017,26.6876,62.89,17,9,11.83,clear sky
315,Ancud,CL,-41.8697,-73.8203,71.13,48,4,9.95,clear sky
316,Mitu,CO,1.1983,-70.1733,85.78,57,74,2.19,broken clouds
317,Carutapera,BR,-1.195,-46.02,77.02,91,95,7.38,heavy intensity rain
318,Chaman,PK,30.9236,66.4512,57.16,43,89,15.26,overcast clouds
319,Koindu,GN,8.4386,-10.3253,72.18,87,99,5.08,overcast clouds
320,Seoul,KR,37.5683,126.9778,22.6,38,0,10.36,clear sky
321,Simao,CN,22.7886,100.9748,48.96,98,99,2.71,overcast clouds
322,Altay,CN,47.8667,88.1167,14.74,58,0,8.95,clear sky
323,Hami,CN,42.8,93.45,28.98,34,0,5.21,clear sky
324,Zeya,RU,53.75,127.2667,-10.26,93,26,2.66,scattered clouds
325,Grand Gaube,MU,-20.0064,57.6608,80.38,87,90,13.0,overcast clouds
326,Dangriga,BZ,16.9692,-88.2321,82.36,65,12,9.19,few clouds
327,Santa Maria,BR,-29.6842,-53.8069,85.3,54,40,3.44,scattered clouds
328,Moyo,UG,3.6609,31.7247,71.55,17,100,3.29,overcast clouds
329,General Roca,AR,-39.0333,-67.5833,62.62,48,100,14.65,overcast clouds
330,Klyuchi,RU,52.2667,79.1667,16.05,88,98,8.16,overcast clouds
331,Shimoda,JP,34.6667,138.95,34.11,62,0,25.21,clear sky
332,Sorong,ID,-0.8833,131.25,78.1,88,100,14.88,heavy intensity rain
333,Hauterive,FR,46.0901,3.4459,47.16,87,86,11.92,light rain
334,Wanning,CN,18.8003,110.3967,57.87,94,100,12.06,overcast clouds
335,Vychegodskiy,RU,61.247,46.8984,27.27,96,100,5.82,light snow
336,Biltine,TD,14.5333,20.9167,69.78,14,35,9.75,scattered clouds
337,Zyryanka,RU,65.75,150.85,-46.84,100,59,4.99,broken clouds
338,Mandalgovi,MN,45.7625,106.2708,5.07,78,0,8.39,clear sky
339,Ewa Beach,US,21.3156,-158.0072,82.35,61,0,11.5,clear sky
340,Hamilton,US,39.1834,-84.5333,65.25,45,40,13.8,scattered clouds
341,Prostejov,CZ,49.4719,17.1118,40.8,68,85,1.01,overcast clouds
342,Bintulu,MY,3.1667,113.0333,75.61,94,20,3.44,few clouds
343,Nyurba,RU,63.2842,118.3319,9.28,94,92,7.34,overcast clouds
344,Sola,VU,-13.8833,167.55,83.07,84,75,0.0,broken clouds
345,Haines Junction,CA,60.7522,-137.5108,1.35,55,93,3.44,overcast clouds
346,Markova,UA,48.6758,24.4138,37.04,94,100,1.5,overcast clouds
