City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Cherskiy,RU,2022-01-09 23:47:32,68.75,161.3,-16.1,98,100,3.11
95,Mar Del Plata,AR,2022-01-09 23:47:25,-38.0023,-57.5575,75.0,41,0,4.0
96,Severo-Kurilsk,RU,2022-01-09 23:47:33,50.6789,156.125,30.72,87,86,10.54
97,Aranjuez,ES,2022-01-09 23:47:34,40.0311,-3.6025,58.8,94,72,12.1
98,Abha,SA,2022-01-09 23:47:34,18.2164,42.5053,55.22,58,0,4.61
99,Namuac,PH,2022-01-09 23:47:34,18.6109,121.1657,74.34,85,85,6.2
100,Togur,RU,2022-01-09 23:47:35,58.3631,82.8265,-0.49,94,98,9.37
101,La Rioja,ES,2022-01-09 23:46:01,42.25,-2.5,49.05,90,100,17.9
102,Hualmay,PE,2022-01-09 23:47:36,-11.0964,-77.6139,72.03,77,7,10.78
103,Bluff,NZ,2022-01-09 23:47:36,-46.6,168.3333,67.8,84,91,8.12
104,Tigil,RU,2022-01-09 23:47:37,57.8,158.6667,13.32,88,59,3.13
105,Lop Buri,TH,2022-01-09 23:47:37,14.7981,100.654,73.15,61,4,1.77
106,Bafoulabe,ML,2022-01-09 23:47:38,13.8065,-10.8321,77.86,11,87,7.0
107,Rantepao,ID,2022-01-09 23:44:55,-2.9701,119.8978,72.01,86,97,0.16
108,Yar-Sale,RU,2022-01-09 23:47:39,66.8333,70.8333,-3.53,94,100,6.8
109,Kodiak,US,2022-01-09 23:47:39,57.79,-152.4072,29.71,55,90,21.85
110,Kirensk,RU,2022-01-09 23:47:40,57.7853,108.1119,-25.53,98,19,1.99
111,Banda Aceh,ID,2022-01-09 23:47:41,5.5577,95.3222,77.88,80,90,5.17
112,Santa Maria,BR,2022-01-09 23:44:45,-29.6842,-53.8069,76.3,57,0,5.75
113,Port Alfred,ZA,2022-01-09 23:47:42,-33.5906,26.891,72.12,93,52,7.02
114,Saint-Francois,FR,2022-01-09 23:47:42,46.4154,3.9054,39.47,92,100,3.44
115,Butaritari,KI,2022-01-09 23:47:43,3.0707,172.7902,81.48,77,99,15.57
116,Burgersdorp,ZA,2022-01-09 23:47:43,-30.9977,26.3286,65.05,79,85,10.87
117,Djambala,CG,2022-01-09 23:47:44,-2.5447,14.7533,69.46,90,79,3.71
118,Datong,CN,2022-01-09 23:47:44,40.0936,113.2914,17.42,55,32,3.62
119,Leningradskiy,RU,2022-01-09 23:47:44,69.3833,178.4167,-17.54,93,41,3.76
120,Bambous Virieux,MU,2022-01-09 23:47:46,-20.3428,57.7575,76.21,100,75,3.44
121,Nsanje,MW,2022-01-09 23:47:46,-16.92,35.262,71.22,93,100,0.29
122,Sambava,MG,2022-01-09 23:47:47,-14.2667,50.1667,74.28,91,100,5.28
123,Puerto Colombia,CO,2022-01-09 23:47:47,10.9878,-74.9547,78.89,78,55,27.18
124,San Patricio,US,2022-01-09 23:47:48,28.017,-97.5169,75.61,43,95,18.01
125,Lotte,DE,2022-01-09 23:47:48,52.2833,7.9167,38.91,97,88,4.72
126,Puerto Ayora,EC,2022-01-09 23:47:48,-0.7393,-90.3518,73.04,86,86,7.74
127,Ushtobe,KZ,2022-01-09 23:47:49,45.2514,77.9838,28.29,76,98,10.94
128,Semenyih,MY,2022-01-09 23:45:40,2.9516,101.843,78.58,93,98,3.0
129,Mahebourg,MU,2022-01-09 23:47:50,-20.4081,57.7,76.24,100,75,3.44
130,Amarpur,IN,2022-01-09 23:47:50,25.0333,86.9,64.11,70,89,5.48
131,Dikson,RU,2022-01-09 23:47:51,73.5069,80.5464,-14.89,100,96,7.85
132,Mehamn,NO,2022-01-09 23:47:51,71.0357,27.8492,30.27,73,100,21.3
133,Douglas,US,2022-01-09 23:48:52,41.3,-96.167,26.47,46,0,1.99
134,Cidreira,BR,2022-01-09 23:48:52,-30.1811,-50.2056,72.59,72,37,18.54
135,Turayf,SA,2022-01-09 23:48:53,31.6725,38.6637,53.85,100,75,4.61
136,Barrow,US,2022-01-09 23:48:36,71.2906,-156.7887,-16.58,69,20,3.44
137,Miraflores,MX,2022-01-09 23:48:53,19.2167,-98.8083,70.45,39,16,2.73
138,Sistranda,NO,2022-01-09 23:48:54,63.7256,8.834,31.96,66,0,9.57
139,Caravelas,BR,2022-01-09 23:48:54,-17.7125,-39.2481,75.92,90,93,7.76
140,Harlingen,US,2022-01-09 23:45:05,26.1906,-97.6961,80.51,88,100,12.66
141,Nanortalik,GL,2022-01-09 23:48:55,60.1432,-45.2371,19.17,79,100,33.84
142,Carnarvon,AU,2022-01-09 23:48:56,-24.8667,113.6333,73.47,60,0,13.8
143,Airai,TL,2022-01-09 23:48:56,-8.9266,125.4092,68.32,76,47,0.78
144,Lagoa,PT,2022-01-09 23:48:57,39.05,-27.9833,60.19,73,100,14.5
145,Codrington,AU,2022-01-09 23:48:57,-38.2667,141.9667,74.52,47,53,11.14
146,Namatanai,PG,2022-01-09 23:48:58,-3.6667,152.4333,84.02,68,90,5.19
147,Stolin,BY,2022-01-09 23:48:58,51.8912,26.846,24.01,97,89,5.44
148,Olafsvik,IS,2022-01-09 23:48:59,64.8945,-23.7142,39.04,96,100,33.73
149,Moyale,KE,2022-01-09 23:48:59,3.5167,39.0584,72.95,45,5,9.22
150,Nador,MA,2022-01-09 23:49:00,35.174,-2.9287,61.05,63,0,14.97
151,Moron,AR,2022-01-09 23:49:00,-34.6534,-58.6198,84.09,63,25,3.0
152,Road Town,VG,2022-01-09 23:49:01,18.4167,-64.6167,78.89,69,40,12.66
153,Andros Town,BS,2022-01-09 23:49:01,24.7,-77.7667,76.96,76,98,19.01
154,Saint-Philippe,RE,2022-01-09 23:49:01,-21.3585,55.7679,76.59,84,77,8.41
155,Onda,ES,2022-01-09 23:49:02,39.9667,-0.25,62.04,65,81,8.08
156,Mount Isa,AU,2022-01-09 23:49:03,-20.7333,139.5,94.77,24,61,9.22
