City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
230,Port Shepstone,ZA,73.53,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
231,Alyangula,AU,76.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
232,Tual,ID,83.32,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
234,Namibe,AO,76.69,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
239,Maceio,BR,81.84,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
240,Souillac,MU,80.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
241,Kawalu,ID,70.99,overcast clouds,-7.3817,108.2082,West Jontor
244,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
250,Jacareacanga,BR,78.31,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
254,Marsabit,KE,73.0,broken clouds,2.3284,37.9899,Chicho Hotel
256,Cuamba,MZ,70.16,moderate rain,-14.8031,36.5372,Hotel Vision
257,Cururupu,BR,76.06,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
259,Manjacaze,MZ,70.68,scattered clouds,-24.7117,33.8828,Hotel Gani
260,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
261,Port Hedland,AU,80.65,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
266,Kuching,MY,75.42,few clouds,1.55,110.3333,Hilton Kuching
275,Uaua,BR,83.37,overcast clouds,-9.8414,-39.4817,Hotel Uauá
278,Ambulu,ID,76.51,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
280,Labuhan,ID,77.47,overcast clouds,-6.8844,112.2051,DoubleFAG
284,Luanda,AO,78.58,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
286,Banjar,ID,78.66,heavy intensity rain,-8.19,114.9675,The Hamsa Resort
287,Zemio,CF,71.15,overcast clouds,5.0314,25.1361,OCHA Office
291,Morant Bay,JM,80.22,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
293,Dargaville,NZ,73.33,scattered clouds,-35.9333,173.8833,Parkview Motel
298,Winfield,US,72.46,overcast clouds,37.2398,-96.9956,Sonner Motor Inn
301,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
